	SÍTIO SÃO PEDRO	CASA BELÉM	CASA CHIARA LUCE	CASA SÃO JOSÉ	CASA DOM BOSCO	CASA NOSSA SENHORA DA LUZ	CASA CORAÇÃO SAGRADO	SÍTIO RESSUSCITADO	SÍTIO NOSSA SENHORA DE LOURDES	CASA SÃO FRANCISCO
2020-01-31	1.0	1.0	6.0	0.0	1.0	2.0	0.0	0.0	1.0	11.0
2020-02-29	1.0	2.0	10.0	0.0	1.0	2.0	0.0	0.0	1.0	9.0
2020-03-31	22.0	37.0	12.0	0.0	5.0	0.0	2.0	0.0	1.0	7.0
2020-04-30	22.0	19.0	11.0	0.0	6.0	0.0	3.0	0.0	1.0	17.0
2020-05-31	32.0	28.0	15.0	5.0	7.0	0.0	4.0	0.0	1.0	20.0
2020-06-30	28.0	46.0	29.0	13.0	8.0	0.0	4.0	0.0	1.0	7.0
2020-07-31	24.0	35.0	39.0	18.0	10.0	0.0	4.0	1.0	1.0	16.0
2020-08-31	24.0	39.0	35.0	20.0	10.0	0.0	4.0	0.0	2.0	27.0
2020-09-30	18.0	34.0	39.0	11.0	10.0	0.0	4.0	0.0	2.0	2.0
2020-10-31	21.0	30.0	38.0	26.0	10.0	0.0	4.0	3.0	5.0	0.0
2020-11-30	24.0	28.0	37.0	9.0	10.0	0.0	6.0	2.0	7.0	3.0
2020-12-31	24.0	33.0	34.0	8.0	10.0	3.0	6.0	2.0	7.0	0.0
2021-01-31	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
