Casa;lat;lon;jan/20;fev/20;mar/20;abr/20;mai/20;jun/20;jul/20;ago/20;set/20;out/20;nov/20;dez/20;Data Inicio
CASA NOSSA SENHORA DA LUZ;-3,72387213;-38,53928162;1;1;1;1;1;1;1;1;1;1;1;1;jan/20
CASA CHIARA LUCE;-4,00529456;-38,62159682;1;1;1;1;1;1;1;1;1;1;1;1;jan/20
Casa Dom Lustosa - Pacatuba/Ce;-4,00529456;-38,62159682;1;1;1;1;1;1;1;1;1;1;1;1;jan/20
Casa Nossa Senhora de Fátima - Pacatuba/Ce;-4,00529456;-38,62159682;;;;;;1;1;1;1;1;1;1;jun/20
Casa Santa Clara;-3,799692308;-38,52347473;1;1;1;1;1;1;1;1;1;1;1;1;jan/20
CASA DOM BOSCO;-3,799692308;-38,52347473;1;1;1;1;1;1;1;1;1;1;1;1;jan/20
SÍTIO NOSSA SENHORA DE LOURDES;-3,77610182;-38,65575348;1;1;1;1;1;1;1;1;1;1;1;1;jan/20
CASA SÃO FRANCISCO;-3,722799049;-38,53894565;1;1;1;1;1;1;1;1;1;1;1;1;jan/20
CASA BELÉM;-3,888988394;-38,4211681;;;1;1;1;1;1;1;1;1;1;1;mar/20
SÍTIO SÃO PEDRO;-3,633689182;-38,75030216;;;;1;1;1;1;1;1;1;1;1;abr/20
CASA CORAÇÃO SAGRADO;-3,925720635;-38,43483866;;;;;1;1;1;1;1;1;1;1;mai/20
CASA SÃO JOSÉ;-3,720706867;-38,55117005;;;;;;;1;1;1;1;1;1;jul/20
SÍTIO RESSUSCITADO;-3,688189616;-38,64210289;;;1;1;1;1;1;1;1;1;1;1;mar/20
Sítio Bom Jesus - São Carlos / SP;-21,94468679;-47,94101763;;;;1;1;1;1;1;1;1;1;1;abr/20
Casa Santa Teresa de Calcutá - João Pessoa / PB.;-7,122887782;-34,835422;1;1;1;1;1;1;1;1;1;1;1;1;jan/20
Casa Santa Dulce dos Pobres - Salvador/ BA;-13,00122295;-38,51231495;;;;;;;;1;1;1;1;1;ago/20
Casa Santa Terezinha - Salvador/ BA;-12,99150932;-38,50230146;1;1;1;1;1;1;1;1;1;1;1;1;jan/20
Casa São Felipe Neri - Natal/ RN;-5,846589489;-35,19747132;1;1;1;1;1;1;1;1;1;1;1;1;jan/20
