Mes,Total,Doacoes Pontuais,Valores Membros,Valores Doadores fixos,Qnt Membros,Qnt Doadores Fixos,Fixos Percapta,Membros Percapta,pontual_pc,membros_pc,fixos_pc
01/2020,275601.69,69640,46490.88,159470.81,674,4584,34.79,68.98,25.26835013,16.86886608,57.86278379
02/2020,225658.28,15677.6,46409.47,163571.21,582,4937,33.13,79.74,6.94749601,20.56626063,72.48624336
03/2020,318198.39,80096.45,53756.94,184345,590,5112,36.06,91.11,25.17185898,16.89415839,57.93398263
04/2020,316297.1,81959.38,48359.86,185977.86,536,4873,38.16,90.22,25.91215032,15.28937825,58.79847144
05/2020,308793.01,64569.96,51267.68,192955.37,498,4527,42.62,102.95,20.91043447,16.6026038,62.48696174
06/2020,317776.89,85295.26,63872.93,168608.7,541,4015,41.99,118.06,26.84124072,20.09992923,53.05883005
07/2020,320789,60765,66993.82,193030.18,589,4165,46.35,113.74,18.94235775,20.88407645,60.1735658
08/2020,307406.41,45176.9,73507.87,188721.64,666,3826,49.33,110.37,14.69614768,23.91227626,61.39157606
09/2002,326923.89,93044.9,79833.42,154045.57,675,3519,43.78,118.27,28.46072216,24.41957362,47.11970422
10/2020,325742.06,50120.53,84776.27,190845.26,672,3695,51.65,126.16,15.38656998,26.02558294,58.58784708
11/2020,315541.73,53525.5,84831.6,177184.63,681,3431,51.64,124.57,16.96304955,26.88443142,56.15251903
12/2020,386433.7,90003.67,104797.53,191632.5,720,3681,52.06,145.55,23.29084394,27.11914877,49.59000729
